"";"x"
"connectance";0,135265700483092
"web asymmetry";-0,08
"links per species";1,68
"linkage density";5,4135623657569
"weighted connectance";0,108271247315138
"H2";0,213152184210894
"mean.number.of.shared.partners.HL";0,877470355731225
"mean.number.of.shared.partners.LL";0,700854700854701
"niche.overlap.HL";0,336320391071535
"niche.overlap.LL";0,197773348344013
"extinction.slope.HL";2,26613709597332
"extinction.slope.LL";2,15543893094615
"robustness.HL";0,689617854832663
"robustness.LL";0,679657144016416
"partner.diversity.HL";1,42582065001164
"partner.diversity.LL";1,61424875277032
